Mass_Percent,Density_20C,Density_30C
0,0.9982,0.9957
1,0.9962,0.9939
2,0.9944,0.9921
3,0.9926,0.9904
4,0.9909,0.9887
5,0.9893,0.9871
6,0.9877,0.9855
7,0.9862,0.9839
8,0.9847,0.9824
9,0.9833,0.9809
10,0.982,0.9794
11,0.9808,0.9778
12,0.9797,0.9764
13,0.9786,0.975
14,0.9776,0.9735
15,0.9765,0.972
16,0.9754,0.9705
17,0.9743,0.969
18,0.9731,0.9675
19,0.9717,0.9658
20,0.9703,0.9642
21,0.9688,0.9624
22,0.9669,0.9606
23,0.9651,0.9587
24,0.9634,0.9569
25,0.9615,0.9549
26,0.9597,0.9529
27,0.9577,0.9509
28,0.9558,0.9488
29,0.954,0.9467
30,0.952,0.9446
31,0.95,0.9426
32,0.9481,0.9405
33,0.946,0.9383
34,0.944,0.9361
35,0.9419,0.9338
36,0.9399,0.9315
37,0.9377,0.9292
38,0.9355,0.9269
39,0.9333,0.9246
40,0.931,0.9224
41,0.9287,0.9201
42,0.9264,0.9177
43,0.9239,0.9154
44,0.9215,0.913
45,0.9191,0.9106
46,0.9165,0.9082
47,0.9141,0.9059
48,0.9117,0.9036
49,0.9093,0.9013
50,0.9069,0.899
51,0.9044,0.8966
52,0.902,0.8943
53,0.8996,0.8919
54,0.8971,0.8895
55,0.8946,0.8871
56,0.8921,0.8847
57,0.8896,0.8823
58,0.8874,0.88
59,0.885,0.8777
60,0.8825,0.8752
61,0.88,0.8728
62,0.8776,0.8704
63,0.8751,0.868
64,0.8727,0.8656
65,0.8702,0.8631
66,0.8679,0.8607
67,0.8656,0.8583
68,0.8632,0.8559
69,0.8609,0.8535
70,0.8584,0.8511
71,0.856,0.8487
72,0.8537,0.8464
73,0.8513,0.844
74,0.8489,0.8416
75,0.8464,0.8392
76,0.8439,0.8368
77,0.8415,0.8344
78,0.8391,0.8321
79,0.8366,0.8297
80,0.8342,0.8273
81,0.8317,0.8248
82,0.8292,0.8224
83,0.8268,0.82
84,0.8243,0.8175
85,0.8219,0.8151
86,0.8194,0.8127
87,0.8169,0.8103
88,0.8145,0.8078
89,0.812,0.8053
90,0.8096,0.8029
91,0.8072,0.8004
92,0.8047,0.7979
93,0.8023,0.7954
94,0.7998,0.7929
95,0.7973,0.7904
96,0.7949,0.7878
97,0.7925,0.7852
98,0.7901,0.7826
99,0.7877,0.7799
100,0.7854,0.777
